group,name
red meat,meatballs
potatoes,potatoes
fish,herring
sweetener,vanilla sugar
fish,salmon
condiment_group,lingonberry jam
red meat,pork sausage
red meat,horse sausage
bread,knäckebröd
red meat,ground beef
red meat,blood sausage
red meat,pölsa
white meat,crawfish
herbs,dill
vegetables,carrot
vegetables,cabbage
spices,black pepper
spices,white pepper
