name,substitute
tofu,chicken nuggets
plant-based pork,italian sausage
plant-based ground beef,ground beef
imitation crab,fish sticks
imitation lobster,fish sticks
mushroom,steak tips
beans,ground beef
jackfruit,pulled pork
seitan,ribs
tempeh,chicken nuggets
lentils,ground beef
legumes,ground beef
chicken,chicken nuggets
fish,fish sticks
plant-based red meat,ground beef
