name,group
cottonseed oil,oil
sunflower oil,oil
sesame oil,oil
sacha inchi oil,oil
rice bran oil,oil
soybean oil,oil
olive oil,oil
camelina oil,oil
tea seed oil,oil
pumpkin seed oil,oil
safflower oil,oil
macadamia oil,oil
canola,oil
corn oil,oil
pine nut oil,oil
argan oil,oil
lemon grass oil,oil
palm kernel oil,oil
hemp oil,oil
palm oil,oil
mustard oil,oil
vegetable oil,oil
diacylglycerol oil,oil
wheat germ oil,oil
dag oil,oil
