name,group
tofu,vegetarian
plant-based pork,vegetarian
plant-based ground beef,vegetarian
imitation crab,vegetarian
imitation lobster,vegetarian
mushroom,vegetarian
beans,vegetarian
jackfruit,vegetarian
seitan,vegetarian
tempeh,vegetarian
lentils,vegetarian
legumes,vegetarian
